index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,add_feat_hash
102,0x1d5eb4b5660fd37ba83884ba47e65828ab3d05f9188a39bb2410dbfbb754fdad,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:19:24+00:00,27,52,0.5192307692307693,1,56,116,0.4827586206896552,2,7,52,1,100,1,0,160,6,1,6504,13,34.0,8.0,2,1,1000000,190000000000,3731555,387249,2.299e+21,107,-1.0,0.1758631145281644,-0.970995873080964,-0.9710010894031262,-1.0186210472827892,-1.1243044633095411,-0.9716517838565196,-0.1627027264722774,-1.1914503893882469,-0.8761602510917837,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.020032840116203,-0.1396230096994945,-0.1603372538915355,-0.160430056817497,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-1.2602484548885442,-0.8980200149812867,0.0,-0.96410755703601,0.15,1.0,52.0,0.1677018633540372,1.0,19.33333333333333,0.008608762490392,0.4482758620689655,1.0,52.0,1.0,1,
271,0x7c9fbfd1ecb9ad9f92424d003c63f8678c9d17642f9251bc5907b78b25c1ce2a,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:19:29+00:00,28,53,0.5283018867924528,1,57,118,0.4830508474576271,2,8,53,1,100,1,0,161,6,1,6505,13,34.0,8.0,2,1,1000000,190000000000,3193577,387249,2.471e+21,109,-1.0,0.1758631145281644,-0.9709178035631736,-0.9709265823622262,-1.0186210472827892,-1.0592405476087574,-0.9127816363947492,-0.1627027264722774,-1.1216524755400776,-0.8206719514659583,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.020031392687272,-0.1396230096994945,-0.1603372538915355,-0.1604266128183287,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-1.4560484541492331,-0.8980200149812867,0.0,-0.904941705116034,0.15,1.0,53.0,0.1728395061728395,1.0,19.666666666666668,0.0087611435597909,0.4491525423728814,1.0,53.0,1.0,1,
214,0xd31d18d8fb934faf0534bc3790a7463ab59df47a7162295529d16186922ef0b4,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:04+00:00,29,54,0.5370370370370371,1,58,120,0.4833333333333333,2,9,54,1,100,1,0,166,6,1,6510,13,34.0,8.0,2,1,1000000,190000000000,4624991,387249,2.356e+21,111,-1.0,0.1758631145281644,-0.9708397340453828,-0.9708520753213262,-1.0186210472827892,-0.994176631907974,-0.8539114889329789,-0.1627027264722774,-1.0518545616919086,-0.7651836518401329,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.020024155542616,-0.1396230096994945,-0.1603372538915355,-0.1604093928224872,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-0.9350775963414044,-0.8980200149812867,0.0,-0.8457758531960579,0.15,1.0,54.0,0.1736526946107784,1.0,20.0,0.0089080018430348,0.45,1.0,54.0,1.0,1,
608,0xa85fff56ad1b8c148a1a5d54494a3069b076e3c9009faf7980603e7b353ffb28,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:13+00:00,30,57,0.5263157894736842,1,59,125,0.472,2,10,57,1,97,1,0,167,6,1,6511,11,34.0,8.0,2,1,1000000,190000000000,7483637,362536,2.356e+21,115,-1.0,0.1758631145281644,-0.9707616645275924,-0.970628554198626,-1.0186210472827892,-0.9291127162071904,-0.7067361202785529,-0.1627027264722774,-0.9820566478437396,-0.5987187529626566,-0.1758631145281649,-0.8662094704051134,-0.977777109543466,-1.019987890658661,-1.0200227081136846,-0.1396230096994945,-0.1603372538915355,-0.1604059488233189,-1.1297778198451132,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.1053420577830622,-0.991591047680694,0.0,-0.7274441493561058,0.1546391752577319,1.0,57.0,0.1785714285714285,1.0,20.83333333333333,0.0090601965601965,0.456,1.0,57.0,1.0,1,
693,0x5bf76554cf903869023317ee6f3f083862e4f5f1caaf76cb2fab31402496287d,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:13+00:00,30,57,0.5263157894736842,1,59,125,0.472,2,11,57,1,100,1,0,167,6,1,6511,13,34.0,8.0,2,1,1000000,190000000000,6219479,387249,2.356e+21,113,-1.0,0.1758631145281644,-0.9707616645275924,-0.970628554198626,-1.0186210472827892,-0.9291127162071904,-0.7067361202785529,-0.1627027264722774,-0.9122587339955704,-0.5987187529626566,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200227081136846,-0.1396230096994945,-0.1603372538915355,-0.1604059488233189,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-0.3547550753067562,-0.8980200149812867,0.0,-0.7866100012760818,0.15,1.0,57.0,0.1785714285714285,1.0,20.83333333333333,0.0090601965601965,0.456,1.0,57.0,1.0,1,
347,0x74eb9e9bf6c1a3ae8e21de9a4415deb0e2b2d9fb8ce98bda35d037c8a1bcef83,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:13+00:00,30,57,0.5263157894736842,1,59,125,0.472,2,12,57,1,97,1,0,167,6,1,6511,11,34.0,8.0,2,1,1000000,190000000000,8730385,362536,2.413e+21,117,-1.0,0.1758631145281644,-0.9707616645275924,-0.970628554198626,-1.0186210472827892,-0.9291127162071904,-0.7067361202785529,-0.1627027264722774,-0.8424608201474012,-0.5987187529626566,-0.1758631145281649,-0.8662094704051134,-0.977777109543466,-1.019987890658661,-1.0200227081136846,-0.1396230096994945,-0.1603372538915355,-0.1604059488233189,-1.1297778198451132,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.5591027273239465,-0.991591047680694,0.0,-0.6682782974361298,0.1546391752577319,1.0,57.0,0.1785714285714285,1.0,20.83333333333333,0.0090601965601965,0.456,1.0,57.0,1.0,1,
497,0xcaa54e83a279d6eda4b0429602d87de2f087554aad1cda8afe355477888a9f09,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:46+00:00,31,58,0.5344827586206896,1,61,128,0.4765625,2,13,58,1,100,1,0,172,6,1,6516,13,34.0,8.0,2,1,1000000,190000000000,5468744,387249,2.59e+21,119,-1.0,0.1758631145281644,-0.970683595009802,-0.970554047157726,-1.0186210472827892,-0.798984884805623,-0.6184308990858974,-0.1627027264722774,-0.7726629062992321,-0.5432304533368312,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200154709690286,-0.1396230096994945,-0.1603372538915355,-0.1603887288274774,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-0.6279891340321568,-0.8980200149812867,0.0,-0.6091124455161536,0.15,1.0,58.0,0.1791907514450867,1.0,21.33333333333333,0.0093601350314561,0.453125,1.0,58.0,1.0,1,
600,0xb7511e1ecf2b4de3d302fe1dda1b33de290a9fe0e3b5e131cc852e61ea6a40ea,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:53+00:00,32,59,0.5423728813559322,1,62,129,0.4806201550387597,2,14,59,1,100,1,0,173,6,1,6517,13,34.0,8.0,2,1,1000000,190000000000,4057339,387249,2.59e+21,121,-1.0,0.1758631145281644,-0.9706055254920114,-0.970479540116826,-1.0186210472827892,-0.7339209691048394,-0.5889958253550123,-0.1627027264722774,-0.702864992451063,-0.4877421537110058,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200140235400974,-0.1396230096994945,-0.1603372538915355,-0.1603852848283091,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-1.1416776082012363,-0.8980200149812867,0.0,-0.5499465935961776,0.15,1.0,59.0,0.1839080459770115,1.0,21.5,0.0095121202822951,0.4573643410852713,1.0,59.0,1.0,1,
651,0xc60e19263e5cd63468750242f0810cfb6efdf25b12aa7a46cba639a340f1be2c,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:21:57+00:00,33,60,0.55,1,64,132,0.4848484848484848,2,15,60,1,100,1,0,177,6,1,6521,13,34.0,8.0,2,1,1000000,190000000000,7807845,387249,2.471e+21,123,-1.0,0.1758631145281644,-0.9705274559742209,-0.970405033075926,-1.0186210472827892,-0.6037931377032721,-0.5006906041623567,-0.1627027264722774,-0.6330670786028939,-0.4322538540851803,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200082338243726,-0.1396230096994945,-0.1603372538915355,-0.1603715088316359,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.2233393107568075,-0.8980200149812867,0.0,-0.4907807416762015,0.15,1.0,60.0,0.1853932584269663,1.0,22.0,0.0098129408157007,0.4545454545454545,1.0,60.0,1.0,1,
448,0xacd8fdabed4b09e60e2e8da43a249ebc83061a764055d7dc8253a7f0d72bb693,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:22:18+00:00,34,61,0.5573770491803278,1,65,133,0.4887218045112781,2,16,61,1,100,1,0,178,6,1,6522,13,34.0,8.0,2,1,1000000,190000000000,12033522,387249,2.471e+21,125,-1.0,0.1758631145281644,-0.9704493864564304,-0.970330526035026,-1.0186210472827892,-0.5387292220024885,-0.4712555304314715,-0.1627027264722774,-0.5632691647547248,-0.3767655544593549,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200067863954414,-0.1396230096994945,-0.1603372538915355,-0.1603680648324676,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,1.7612972820417143,-0.8980200149812867,0.0,-0.4316148897562255,0.15,1.0,61.0,0.1899441340782122,1.0,22.166666666666668,0.0099647401502376,0.4586466165413533,1.0,61.0,1.0,1,
350,0xe952b2e5f5585b0eeaae565f2193c52581e0faa62f6a9850f891cacf98b364e3,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:23:00+00:00,35,62,0.5645161290322581,1,67,135,0.4962962962962963,2,17,62,1,100,1,0,180,6,1,6524,13,34.0,8.0,2,1,1000000,190000000000,13992181,387249,2.471e+21,127,-1.0,0.1758631145281644,-0.97037131693864,-0.970256018994126,-1.0186210472827892,-0.4086013906009212,-0.4123853829697011,-0.1627027264722774,-0.4934712509065556,-0.3212772548335295,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200038915375789,-0.1396230096994945,-0.1603372538915355,-0.1603611768341309,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,2.474161805780496,-0.8980200149812867,0.0,-0.3724490378362494,0.15,1.0,62.0,0.1933701657458563,1.0,22.5,0.0102681992337164,0.4592592592592592,1.0,62.0,1.0,1,
984,0xeb6fd36e744a50bdbdbf085ce930b6e428f3f851cfd3dd9291b83555370dec6a,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:23:17+00:00,36,65,0.5538461538461539,1,69,141,0.4893617021276595,2,18,65,1,100,1,0,182,6,1,6526,13,34.0,8.0,2,1,1000000,190000000000,8549448,387249,2.53e+21,129,-1.0,0.1758631145281644,-0.9702932474208492,-0.970032497871426,-1.0186210472827892,-0.278473559199354,-0.23577494058439,-0.1627027264722774,-0.4236733370583865,-0.1548123559560532,-0.1758631145281649,-0.7524839381856236,-0.977777109543466,-1.019987890658661,-1.0200009966797166,-0.1396230096994945,-0.1603372538915355,-0.1603542888357944,-0.7994334280775361,0.996807759619574,-0.9249600877113284,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.4932497287510841,-0.8980200149812867,0.0,-0.3132831859162733,0.15,1.0,65.0,0.1967213114754098,1.0,23.5,0.0105714723456411,0.4609929078014184,1.0,65.0,1.0,1,
