index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,rn,True Labels,Predicted Labels
89,0x07d6739c656d13b691d1c4cb46f52092e09df60fd09cf8527e3d69fd8938d924,1,0x17f44a971b56ee342c94f12c8fb5569d7f6c3830,0x3561081260186e69369e6c32f280836554292e08,2022-10-14 22:22:47+00:00,49,51,0.9607843137254902,7,24,24,1.0,12,11,0x07d6739c656d13b691d1c4cb46f52092e09df60fd09cf8527e3d69fd8938d924,1,1,5,21,12,87743,15,450,2879521,4,3.0,2.0,1,1,60334,14491238775,7816848,60050,0.0,19,2.0,-0.3023715784073818,-0.7907536409842764,-0.8082244495117934,-0.8626773144550365,-0.6919836459229435,-0.6926290262846484,-0.7736686251920268,0.446017485829516,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-0.607308348542715,-0.2620315796117013,-0.210561800099855,-0.6980403845352136,0.0670227959742585,0.0765723641534964,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3982095200298716,-0.54176406078762,-0.4321932855965174,-0.4448144000188967,0.0,-0.6838334717271476,0.2,0.5384615384615384,2.4285714285714284,0.0005584427425237,0.0266075388026607,1.6,8.334716664779779e-06,0.0416666666666666,0.0196078431372549,1.0,0.1428571428571428,0,,0,0
91,0xcf541690cc4b7dec14ea34c756214c13f9427b34ac1d5e85c5e83959fdcbdab0,1,0x3bb0a33aa7c8db101e57dd7b4e35d36afc931a24,0x3561081260186e69369e6c32f280836554292e08,2022-10-14 22:43:23+00:00,50,52,0.9615384615384616,7,19,19,1.0,13,12,0xcf541690cc4b7dec14ea34c756214c13f9427b34ac1d5e85c5e83959fdcbdab0,1,1,5,22,12,87846,14,187,1190739,4,3.0,2.0,1,1,60334,16012660452,2282288,60050,0.0,15,2.0,-0.3023715784073818,-0.7626329567387473,-0.7837772489820961,-0.8626773144550365,-0.6983698510793072,-0.6988673537901844,-0.7650761260228574,0.5181886000414119,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-0.4198675002270621,-0.2620315796117013,-0.2080631462786599,-0.7026473036517342,-0.5325348686934293,-0.5403463304902371,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3982095200298716,-0.390382694396346,-1.2416452571399257,-0.4448144000188967,0.0,-0.6888985296615757,0.2,0.5384615384615384,2.363636363636364,0.0005691714002754,0.0691489361702127,1.3571428571428572,1.595646404756706e-05,0.0526315789473684,0.0192307692307692,1.0,0.1428571428571428,0,,0,0
98,0xf413620e7b89a9ef771894b82926dd9b68afc05c7f881b26eb364b6c849065a2,1,0xecbe76eb784a1ec0aeb49c2619d0c7b3661b88a4,0x3561081260186e69369e6c32f280836554292e08,2022-10-15 03:54:23+00:00,51,53,0.9622641509433962,8,117,129,0.9069767441860463,71,13,0xf413620e7b89a9ef771894b82926dd9b68afc05c7f881b26eb364b6c849065a2,1,1,5,23,13,89394,84,390,2489877,4,3.0,2.0,1,1,60334,16701227358,5518925,60050,0.0,112,2.0,-0.3023715784073818,-0.7345122724932183,-0.7593300484523987,-0.669251907626553,-0.5732002300145789,-0.5616241486683929,-0.2667111742110231,0.5903597142533077,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-0.2324266519114092,-0.0896423824987399,-0.1705105626358453,-0.3801629654952865,-0.0697584202997386,-0.0657661187624529,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3982095200298716,-0.3218703281944729,-0.7682738959440324,-0.4448144000188967,0.0,-0.5660708747516926,0.2,0.5714285714285714,2.3043478260869565,0.0005705017059119,0.1815856777493606,1.5357142857142858,4.699025414096594e-05,0.0077519379844961,0.0188679245283018,1.0,0.125,0,,0,0
55,0x2547190061471b76a92225fdd834a6cbe6637fd9422e818c2fac84c255886853,1,0xf2978b5dabb93964410fb0394c07f144706a2df7,0x3561081260186e69369e6c32f280836554292e08,2022-10-16 23:07:23+00:00,52,54,0.9629629629629628,9,160,160,1.0,34,14,0x2547190061471b76a92225fdd834a6cbe6637fd9422e818c2fac84c255886853,7,3,5,23,14,102287,44,368,2353689,4,3.0,2.0,1,1,74608,13072250405,13195921,74191,0.0,149,2.0,-0.3023715784073818,-0.7063915882476892,-0.7348828479227014,-0.4758265007980695,-0.5182788656698512,-0.5229465181340699,-0.5846336434702967,0.6625308284652035,0.8607293431756662,1.3490023824239228,-0.1584670405783986,-0.2324266519114092,0.0827468146142215,0.1422578229628684,-0.5644397301561138,-0.1199115329335376,-0.1155161298273155,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3078913991013246,-0.6829533192235154,0.3545180780757374,-0.3328752917584609,0.0,-0.519219088858232,0.2,0.6,2.347826086956522,0.0005083685280775,0.0921409214092141,3.636363636363636,6.797836588505708e-05,0.04375,0.1296296296296296,2.333333333333333,0.3333333333333333,0,,0,0
41,0xe3826ab615a5383a464d8d81ec241c7bb6f5077f8183761fcfbe862ec465fb57,1,0x1d0d7bd1ef5dfdde86c8b145cdf948ad8f0e9961,0x3561081260186e69369e6c32f280836554292e08,2022-10-17 15:38:35+00:00,53,55,0.9636363636363636,10,201,203,0.9901477832512317,49,15,0xe3826ab615a5383a464d8d81ec241c7bb6f5077f8183761fcfbe862ec465fb57,4,2,5,23,15,107204,47,393,2511428,4,3.0,2.0,1,1,74608,37954462385,27438011,74191,0.0,194,2.0,-0.3023715784073818,-0.6782709040021602,-0.7104356473930041,-0.282401093969586,-0.465911983387669,-0.4692969015864604,-0.4557461559327533,0.7347019426770993,0.0734768951491421,0.278365570976365,-0.1584670405783986,-0.2324266519114092,0.2551360117271831,0.2615382194562273,-0.5506189728065517,-0.0629193594860387,-0.0578934538546868,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3078913991013246,1.7928252931839668,2.437481823955926,-0.3328752917584609,0.0,-0.462237187095915,0.2,0.625,2.391304347826087,0.0004943799263094,0.1243654822335025,4.319148936170213,8.003411603513379e-05,0.0197044334975369,0.0727272727272727,2.0,0.2,0,,0,0
0,0xa88d5f233bdcf8ec6ebbdc31cf8289dbd1241fdbb2b54596dd06d7ef84e269d4,1,0x27d4e6fe4f5aca5eccf4a1c7694ace7451060bfc,0x3561081260186e69369e6c32f280836554292e08,2022-10-18 21:04:23+00:00,54,56,0.9642857142857144,11,7,7,1.0,1,16,0xa88d5f233bdcf8ec6ebbdc31cf8289dbd1241fdbb2b54596dd06d7ef84e269d4,1,1,5,24,16,115998,4,0,13,4,3.0,2.0,1,1,91696,28111576870,11071961,86479,0.0,5,2.0,-0.3023715784073818,-0.6501502197566312,-0.6859884468633067,-0.0889756871411025,-0.71369674345458,-0.7138393398034707,-0.868186116052892,0.8068730568889951,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-0.0449858035957564,0.4275252088401445,0.4748698864813642,-0.748716494816941,-0.9588363260807208,-0.975323212999853,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.1997678142318408,0.8134587697414475,0.0438802659498707,-0.2356043942049473,0.0,-0.7015611744976462,0.2,0.6470588235294118,2.333333333333333,0.0004655212544935,1.0,1.75,0.5,0.1428571428571428,0.0178571428571428,1.0,0.0909090909090909,0,,0,0
32,0x890381de1983350d04c5a194f6a0cc7d54a54ad64777a1a6e106fc898f8e9efc,1,0x27d4e6fe4f5aca5eccf4a1c7694ace7451060bfc,0x3561081260186e69369e6c32f280836554292e08,2022-10-18 21:04:59+00:00,55,57,0.9649122807017544,11,8,8,1.0,1,17,0x890381de1983350d04c5a194f6a0cc7d54a54ad64777a1a6e106fc898f8e9efc,2,1,1,24,16,116001,4,0,16,2,1.0,0.0,1,0,46279,33241926638,8646481,46279,0.0,6,2.0,-0.3023715784073818,-0.6220295355111022,-0.6615412463336094,-0.0889756871411025,-0.7124195024233072,-0.7125916743023636,-0.868186116052892,0.8790441711008908,-0.4513580702018738,-0.7922712404711927,-0.3079642486712275,-0.0449858035957564,0.4275252088401445,0.4749426628062533,-0.748716494816941,-0.9588363260807208,-0.9753221170880751,-1.4395251458044689,-0.6834456646121961,-1.0789473684210529,-0.1428571428571429,-1.177071018760596,-0.4871419278798595,1.3239282665849548,-0.3108560758621442,-0.5538246156934927,0.0,-0.7002949100140391,1.0,0.6470588235294118,2.375,0.0004741297563835,1.0,2.0,0.4705882352941176,0.25,0.0350877192982456,2.0,0.0909090909090909,0,,0,0
85,0xb2d7508823a22d9e7a2c07798559155dabf342abf37d4bd90cff5b8d52fae963,1,0x80ae402ac0984d84c232e61bc13f066df590bde0,0x3561081260186e69369e6c32f280836554292e08,2022-10-19 00:05:11+00:00,56,58,0.9655172413793104,12,88,91,0.967032967032967,33,18,0xb2d7508823a22d9e7a2c07798559155dabf342abf37d4bd90cff5b8d52fae963,3,2,5,24,17,116898,44,193,1224403,4,3.0,2.0,1,1,60334,22650291879,21935937,60050,0.0,86,2.0,-0.3023715784073818,-0.5939088512655731,-0.6370940458039122,0.1044497196873809,-0.6102402199214882,-0.6090354377104663,-0.5932261426394662,0.9512152853127868,-0.1889405875263658,0.278365570976365,-0.1584670405783986,-0.0449858035957564,0.5999144059531061,0.4967027839481169,-0.5644397301561138,-0.5188567470660296,-0.5280487391276535,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3982095200298716,0.270061237888261,1.6327810623998629,-0.4448144000188967,0.0,-0.5989937513254757,0.2,0.6666666666666666,2.4166666666666665,0.0004790460140805,0.1701030927835051,2.0681818181818183,7.187170247728692e-05,0.0329670329670329,0.0517241379310344,1.5,0.1666666666666666,0,,0,0
67,0x365692e5860be0928b65b3486790d1431c03edda781a9369522ecee3f0e73e40,1,0x80ae402ac0984d84c232e61bc13f066df590bde0,0x3561081260186e69369e6c32f280836554292e08,2022-10-19 00:05:35+00:00,57,59,0.9661016949152542,12,89,93,0.956989247311828,33,19,0x365692e5860be0928b65b3486790d1431c03edda781a9369522ecee3f0e73e40,4,2,5,24,17,116900,45,193,1224405,4,3.0,2.0,1,1,74596,21991966364,18948471,74179,0.0,89,2.0,-0.3023715784073818,-0.5657881670200441,-0.6126468452742149,0.1044497196873809,-0.6089629788902156,-0.606540106708252,-0.5932261426394662,1.0233863995246826,0.0734768951491421,0.278365570976365,-0.1584670405783986,-0.0449858035957564,0.5999144059531061,0.496751301498043,-0.5598328110395931,-0.5188567470660296,-0.5280480085198016,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3079673285850812,0.2045578882926057,1.1958519761456892,-0.332970282869353,0.0,-0.5951949578746545,0.2,0.6666666666666666,2.458333333333333,0.0004875920650807,0.1701030927835051,2.066666666666667,7.268830763651927e-05,0.043010752688172,0.0677966101694915,2.0,0.1666666666666666,0,,0,0
13,0xb4d502280f0680ca4ced9e66fbfa2979ed289a8ec6930df052df4e24d0398270,1,0x79a94077ac9ff31a9e728a25bf9a549affea1632,0x3561081260186e69369e6c32f280836554292e08,2022-10-19 03:07:35+00:00,58,60,0.9666666666666668,12,278,281,0.98932384341637,121,20,0xb4d502280f0680ca4ced9e66fbfa2979ed289a8ec6930df052df4e24d0398270,3,2,5,24,17,117800,99,744,4786803,4,3.0,2.0,1,1,74596,16359699338,7913934,74179,0.0,241,2.0,-0.3023715784073818,-0.5376674827745151,-0.5881996447445175,0.1044497196873809,-0.3675644239796682,-0.3719789925000992,0.1629137842474547,1.0955575137365785,-0.1889405875263658,0.278365570976365,-0.1584670405783986,-0.0449858035957564,0.5999144059531061,0.5185841989647957,-0.3110591787474763,0.737250755716845,0.7733099666134288,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3079673285850812,-0.3558523458757593,-0.417994062151607,-0.332970282869353,0.0,-0.402722756366384,0.2,0.6666666666666666,2.5,0.0004923557524978,0.1624161073825503,2.8383838383838382,5.807632817220007e-05,0.0106761565836298,0.05,1.5,0.1666666666666666,0,,0,0
