transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,rn,True Labels,Predicted Labels
0xe4c5cd89144d0bd469425ae43c8c9effef62436c9d785e4c275941dfa411acfe,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-09 08:02:35.000000 UTC,222,222,1.0,24,146,146,1.0,22,11,0xe4c5cd89144d0bd469425ae43c8c9effef62436c9d785e4c275941dfa411acfe,39,15,36,54,23,166046,13,36,254822,15,6.0,5.0,1,4,332600,16248250328,10180145,266080,0.0,139,2.0,-0.3680880839790382,2.310380838047928,2.310380838047928,2.339179937559336,-0.8043175138627846,-0.797099850861327,-0.8740504252853791,0.9543240441481794,2.19360163847095,2.530936225532133,-0.2618995971179111,2.174324280934394,2.128298042077412,2.1179179570718767,-0.8678948028100751,-0.7004482241361912,-0.7015764113158756,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1788679651869499,-0.4993102315722298,0.2787360723980389,-0.2102005371192141,0.0,-0.7894735794256289,0.0277777777777777,1.0,4.111111111111111,0.0013369708576487,0.5945945945945946,11.23076923076923,0.0005729467120314,0.2671232876712329,0.1756756756756756,2.6,0.625,0,,0,0
0x50e8eaa3a6d075a0ba3b466a43875ddcb85aac49b86ea09504823caaea5da5e8,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-08 21:32:11.000000 UTC,218,218,1.0,23,144,144,1.0,21,10,0x50e8eaa3a6d075a0ba3b466a43875ddcb85aac49b86ea09504823caaea5da5e8,38,14,36,54,22,162910,13,35,251686,15,6.0,5.0,1,4,332612,55338914743,7408988,266090,0.0,137,2.0,-0.3680880839790382,2.257318536725186,2.257318536725186,2.20274844597316,-0.8097238643989841,-0.8020967724772583,-0.8892009999436508,0.7200034083082246,2.121140323086024,2.313093514414344,-0.2618995971179111,2.174324280934394,1.9909079102531653,2.0585228226419443,-0.8678948028100751,-0.7025055055805729,-0.7026042174270816,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.178838730773982,1.0400992440574768,-0.1940783896629724,-0.2101752687441372,0.0,-0.7945921750720287,0.0277777777777777,1.0,4.037037037037037,0.0013381539613654,0.5833333333333334,11.076923076923077,0.000572139204647,0.2638888888888889,0.1743119266055046,2.7142857142857144,0.6086956521739131,0,,0,0
0xdcf853bffea5423f69a88fea4caf4a139ac26e442ae9f41787dc1bc29dd55fc8,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-08 19:19:23.000000 UTC,214,214,1.0,23,137,137,1.0,21,9,0xdcf853bffea5423f69a88fea4caf4a139ac26e442ae9f41787dc1bc29dd55fc8,36,14,36,54,22,162250,13,35,251026,15,6.0,5.0,1,4,349984,116195284180,1519976,282412,0.0,131,2.0,-0.3680880839790382,2.204256235402444,2.204256235402444,2.20274844597316,-0.8286460912756827,-0.8195859981330177,-0.8892009999436508,0.4856827724682698,1.9762176923161712,2.313093514414344,-0.2618995971179111,2.174324280934394,1.9909079102531653,2.046022571135645,-0.8678948028100751,-0.7025055055805729,-0.7028205286622206,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1365170456006777,3.436652824451254,-1.1988608833473215,-0.1689322269437183,0.0,-0.8099479620112282,0.0277777777777777,1.0,3.962962962962963,0.001318944105121,0.5833333333333334,10.538461538461538,0.000545758026029,0.2627737226277372,0.1682242990654205,2.571428571428572,0.6086956521739131,0,,0,0
0xb7edcb3cbe6b1ac41035423e30a4dcd11ac41dbc513cb4ea6b3124d1c0ade677,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-03 11:53:35.000000 UTC,166,166,1.0,18,115,115,1.0,17,8,0xb7edcb3cbe6b1ac41035423e30a4dcd11ac41dbc513cb4ea6b3124d1c0ade677,28,10,37,47,17,124215,13,30,212991,15,7.0,5.0,1,4,335991,18070553476,7891513,273491,0.0,111,2.0,-0.3680880839790382,1.5675086195295418,1.5675086195295418,1.5205909880422828,-0.8881159471738782,-0.8745521359082616,-0.9498032985767372,0.251362136628315,1.396527169236761,1.441722669943187,-0.2549037360972772,1.7865916046214056,1.3039572511319355,1.32564822864761,-0.8678948028100751,-0.712791912802481,-0.7152862829478452,0.8699796964740998,-0.1782660406213667,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1706068073224165,-0.42754704270137,-0.1117500342843383,-0.1914741443497676,0.0,-0.8611339184752262,0.027027027027027,1.0,3.5319148936170213,0.0013363817865653,0.5483870967741935,8.846153846153847,0.0005399263822115,0.2434782608695652,0.1686746987951807,2.8,0.5555555555555556,0,,0,0
0x783a64d91e39be4905227e27e2df4e5348bc58a1b65172ad9ea8ce6c5ea87d70,1,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,0xa45f70ad02445c5c23510e93375021edc591c6d2,2022-11-02 03:56:59.000000 UTC,26,26,1.0,13,283,286,0.9895104895104896,41,14,0x783a64d91e39be4905227e27e2df4e5348bc58a1b65172ad9ea8ce6c5ea87d70,4,3,7,8,19,131631,48,161,1040103,7,3.0,3.0,1,4,226350,12019895330,5650424,193598,0.0,276,2.0,-0.3680880839790382,-0.2896719267664225,-0.2896719267664225,0.8384335301114055,-0.4339825021331126,-0.4473153377461382,-0.5861895067782183,1.6572859516680438,-0.3425444000014696,-0.0831763078813377,-0.4647795667162929,-0.3736333062652433,1.5787375147804277,1.466105600118394,-0.302897340716942,-0.4432880435884867,-0.4442050430716368,-0.8543043866277193,-0.4296668671386789,-0.6063297841868259,-0.3010839717979925,0.2626899322809773,-0.4377143300075568,-0.6658249185865981,-0.4941243602304502,-0.3933507733511689,0.0,-0.4388497776472419,0.1428571428571428,0.65,3.25,0.0001975203597909,0.2530864197530864,5.958333333333333,0.0002720881757978,0.0139860139860139,0.1538461538461538,1.3333333333333333,0.2307692307692307,0,,0,0
0x36e19bb36b6fe1b3d09261b7bd2bf234a295d3f0d20d0f047b7a6710a1f8dd63,1,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,0xa45f70ad02445c5c23510e93375021edc591c6d2,2022-11-02 03:54:59.000000 UTC,25,25,1.0,13,282,285,0.9894736842105264,41,13,0x36e19bb36b6fe1b3d09261b7bd2bf234a295d3f0d20d0f047b7a6710a1f8dd63,3,3,8,8,19,131621,48,161,1040093,8,4.0,3.0,1,5,240258,12419499712,4273376,202490,0.0,275,2.0,-0.3680880839790382,-0.3029375020971079,-0.3029375020971079,0.8384335301114055,-0.4366856774012124,-0.4498137985541038,-0.5861895067782183,1.422965315828089,-0.4150057153863958,-0.0831763078813377,-0.457783705695659,-0.3736333062652433,1.5787375147804277,1.4659162023682986,-0.302897340716942,-0.4432880435884867,-0.4442083205145934,-0.638768876239992,-0.3668166605093508,-0.6063297841868259,-0.3010839717979925,0.890861509474619,-0.4038316453776744,-0.650088302661546,-0.7290761184138341,-0.3708821342328424,0.0,-0.4414090754704418,0.125,0.65,3.125,0.0001899378523347,0.2530864197530864,5.9375,0.0002711293402327,0.0105263157894736,0.12,1.0,0.2307692307692307,0,,0,0
0x87c742bfd098aea93817c9eb9fcfba2ec84369aa5979944a44ee7263f41e4a7e,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-10-28 06:39:59.000000 UTC,113,113,1.0,12,70,70,1.0,11,7,0x87c742bfd098aea93817c9eb9fcfba2ec84369aa5979944a44ee7263f41e4a7e,16,6,37,34,11,79713,12,24,168489,15,7.0,5.0,1,4,335991,12606155469,1081863,273491,0.0,67,2.0,-0.3680880839790382,0.8644331270032125,0.8644331270032125,0.7020020385252301,-1.009758834238369,-0.9869828722667152,-1.0407067465263669,0.0170415007883602,0.5269913846176457,0.57035182547203,-0.2549037360972772,1.066516634325856,0.479616460186459,0.4827903611728492,-0.8840375874413074,-0.7251356014687709,-0.7298715595935366,0.8699796964740998,-0.1782660406213667,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1706068073224165,-0.6427377076970774,-1.2736116688195758,-0.1914741443497676,0.0,-0.973743022696022,0.027027027027027,1.0,3.323529411764706,0.0014175678049025,0.44,5.833333333333333,0.0004154549231408,0.2285714285714285,0.1415929203539823,2.6666666666666665,0.5,0,,0,0
0x2ae706cc57867093c12c62bfd177efeecb7672324347524906e901c55f3d4e13,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-10-28 06:37:59.000000 UTC,112,112,1.0,12,67,67,1.0,11,6,0x2ae706cc57867093c12c62bfd177efeecb7672324347524906e901c55f3d4e13,15,6,37,34,11,79703,11,24,168479,15,7.0,5.0,1,4,353384,12279562216,1457510,290591,0.0,64,2.0,-0.3680880839790382,0.851167551672527,0.851167551672527,0.7020020385252301,-1.0178683600426683,-0.994478254690612,-1.0407067465263669,-0.2172791350515945,0.4545300692327194,0.57035182547203,-0.2549037360972772,1.066516634325856,0.479616460186459,0.4826009634227537,-0.9001803720725399,-0.7251356014687709,-0.7298748370364933,0.8699796964740998,-0.1782660406213667,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1282339619264182,-0.6555991096678254,-1.2095188244842197,-0.1482652229683705,0.0,-0.9814209161656218,0.027027027027027,1.0,3.294117647058824,0.0014051992371775,0.44,6.090909090909091,0.0003976733143399,0.2238805970149253,0.1339285714285714,2.5,0.5,0,,0,0
0x2207812896997e0e128c9a04805e8e625e13a3303b3d4fa578a78d89205b6dee,1,0x11d67fa925877813b744abc0917900c2b1d6eb81,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-10-26 02:15:47.000000 UTC,72,72,1.0,10,973,1033,0.9419167473378508,192,5,0x2207812896997e0e128c9a04805e8e625e13a3303b3d4fa578a78d89205b6dee,2,2,36,27,9,64087,191,290,1860524,15,6.0,5.0,1,4,332600,14370262611,4886307,270100,0.0,996,2.0,-0.3680880839790382,0.3205445384451086,0.3205445384451086,0.4291390553528791,1.4312084328557462,1.4190348858041906,1.7015472666207965,-0.4515997708915493,-0.4874670307713221,-0.301019018999127,-0.2618995971179111,0.6787839580128678,0.2048361965379669,0.1868374368737028,2.005520861549287,-0.1778987372632557,-0.1753167402777239,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1788679651869499,-0.5732663059938418,-0.62449790756345,-0.2000426503383242,0.0,1.4038446550566896,0.0277777777777777,1.0,2.6666666666666665,0.0011234552490325,0.6597938144329897,5.408376963350785,0.0005229706668816,0.0019361084220716,0.0277777777777777,1.0,0.2,0,,0,0
0xa8fa1edf56f9a4a04fe54d6ec8992a7bdb964e2aea44e0fababcd7d0dc3114b8,1,0x1b04d574d4a3d57fb724848937a926aa21c59271,0xa45f70ad02445c5c23510e93375021edc591c6d2,2022-10-25 02:45:23.000000 UTC,18,18,1.0,7,96,96,1.0,23,12,0xa8fa1edf56f9a4a04fe54d6ec8992a7bdb964e2aea44e0fababcd7d0dc3114b8,1,1,7,8,11,74032,18,98,649713,7,3.0,3.0,1,4,755364,14977874438,2295411,218638,0.0,73,0.0,-0.3680880839790382,-0.3957965294119062,-0.3957965294119062,0.0198445805943528,-0.9394762772677744,-0.9220228912596088,-0.8588998506271075,1.1886446799881345,-0.5599283461562484,-0.5188617301169163,-0.4647795667162929,-0.3736333062652433,0.479616460186459,0.3751934993436254,-0.7871808796539133,-0.5728967745845298,-0.5721531386563617,-0.8543043866277193,-0.4296668671386789,-0.6063297841868259,-0.3010839717979925,0.2626899322809773,0.8510701484791112,-0.5493382551922914,-1.066556260264515,-0.3300787621587605,0.0,-0.9583872357568226,0.1428571428571428,0.5833333333333334,2.25,0.0002431348182567,0.2323232323232323,5.333333333333333,0.0001477573209135,0.0104166666666666,0.0555555555555555,1.0,0.1428571428571428,0,,0,0
