transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x3546d011043139c2460ca5dbcc01adacfac818b8670b51d0f61d0b7b39dee5f1,3,0xe96664029ad91b2d9928bbcab585450f78eff8cc,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 06:11:42+00:00,234,234,1.0,76,54,54,1.0,30,234,0x3546d011043139c2460ca5dbcc01adacfac818b8670b51d0f61d0b7b39dee5f1,2,1,61,36,136,877183,22,264,1690124,10,5,10,2,4,261142,24743561431,24141320,250467,100000000000000000000,35,2.0
0x3958eb87dea47b073933ae9db12f721384be582b2d9d56da06fb2416140cd727,3,0xe96664029ad91b2d9928bbcab585450f78eff8cc,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 05:46:41+00:00,251,253,0.9920948616600792,39,53,53,1.0,30,50,0x3958eb87dea47b073933ae9db12f721384be582b2d9d56da06fb2416140cd727,1,1,218,44,44,276798,22,264,1690001,20,8,11,4,5,607290,28780020960,12736548,591217,0,34,2.0
0x6b04f5987002e262825bbc8b9e33694ce40addcd29ee9a68f14f6dc0dea58e76,3,0xe96664029ad91b2d9928bbcab585450f78eff8cc,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 05:43:45+00:00,233,233,1.0,76,52,52,1.0,30,233,0x6b04f5987002e262825bbc8b9e33694ce40addcd29ee9a68f14f6dc0dea58e76,1,1,61,36,136,877044,21,264,1689985,10,5,10,2,4,295846,47503908747,11993716,284629,100000000000000000000,33,2.0
0x3cc608e2bd365fa9d646f4860fe9d6ba5ef8057dde5f18730d937b250809747e,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 03:39:32+00:00,242,244,0.9918032786885244,39,4878,5073,0.9615612063867532,282,49,0x3cc608e2bd365fa9d646f4860fe9d6ba5ef8057dde5f18730d937b250809747e,5,1,368,42,44,276224,291,321,2056711,31,9,12,4,5,1806653,33203229446,3316796,787465,0,4925,2.0
0x57573958204d40646dc428c7966ea28c2c46c385d77ce96a255d75ade98d1034,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 03:38:44+00:00,241,243,0.9917695473251028,39,4877,5072,0.9615536277602524,282,48,0x57573958204d40646dc428c7966ea28c2c46c385d77ce96a255d75ade98d1034,4,1,368,42,44,276219,291,321,2056706,31,9,12,4,5,806431,34884118697,2887021,794827,0,4924,2.0
0x4c9a095fc543546dbb570acde0ba2d4fabe3bf292ab33d4c341123b8a60c5ff1,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 03:17:00+00:00,238,240,0.9916666666666668,39,4872,5067,0.9615156897572528,282,47,0x4c9a095fc543546dbb570acde0ba2d4fabe3bf292ab33d4c341123b8a60c5ff1,3,1,292,40,44,276125,290,321,2056612,25,8,12,4,5,1651402,53263457484,5153604,634640,0,4919,2.0
0xd1c61f4ecab7d483036297976f4d1c0ce055d1d61c0a479f8bf21d77a18ca2a4,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 03:15:46+00:00,232,232,1.0,76,4871,5066,0.961508093170154,282,232,0xd1c61f4ecab7d483036297976f4d1c0ce055d1d61c0a479f8bf21d77a18ca2a4,2,1,61,35,136,876381,290,321,2056606,10,5,10,2,4,261142,50803613584,848108,250467,900000000000000000000,4918,2.0
0x4c67e8f4e4e31fe4f8fb224928028f644c8c8e59313298d162f8b35e59a95660,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 02:58:51+00:00,236,238,0.9915966386554622,39,4869,5064,0.9614928909952608,282,46,0x4c67e8f4e4e31fe4f8fb224928028f644c8c8e59313298d162f8b35e59a95660,2,1,292,39,44,276049,290,321,2056536,25,8,12,4,5,1758762,74638869586,761541,740541,0,4917,2.0
0x63fb9ad2532e3757a30e425762f361b350638cce483a5e7d1b93bced1c1d1599,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 02:57:33+00:00,235,237,0.9915611814345991,39,4868,5063,0.9614852854039108,282,45,0x63fb9ad2532e3757a30e425762f361b350638cce483a5e7d1b93bced1c1d1599,1,1,292,39,44,276045,290,321,2056532,25,8,12,4,5,758762,56330183764,4396657,747903,0,4916,2.0
0x84cf111328f31ea149729946c4e03017ee80fb272bc73986a4f87221a625d179,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 02:56:30+00:00,231,231,1.0,76,4867,5062,0.9614776768075858,282,231,0x84cf111328f31ea149729946c4e03017ee80fb272bc73986a4f87221a625d179,1,1,61,35,136,876303,289,321,2056528,10,5,10,2,4,275630,56243642796,2323287,264729,5000000000000000000,4915,2.0
