transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xf6920b8b5f22c7f8ade2ca5ce48a6b445e8043cfb6262c217e889c021935199a,1,0x847ff09b50582974c98fe86df7bd6536250a0302,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,146027,38000000000,9973274,33525,0.0,21,,2925766,10654994,0.2745910509194092,992,31,31,1.0,20,74,0xf6920b8b5f22c7f8ade2ca5ce48a6b445e8043cfb6262c217e889c021935199a,1,1,2,3745246,1035,6482092,4,102,667511,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,-0.38745559425942633,-0.3512347142726623,-0.48892631195471625,-0.22619043488753132,-0.5296979172312916,-0.45645264570664323,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,-0.249054482267114,-0.48672223275217036,-0.48736061182581825,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.393375116625777,0.1844403149613003,0.7869895313089244,-0.44461344921372814,-0.0,-0.35351736485511653,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,0.1941747572815534,7.75,4.6441112669135535e-05,0.03225806451612903,9.385270418735102e-08,1.0,0.0010080645161290322,0
0x27cd4d05a167fa8564580a15a7a42a47a9859f12d247ee0b34a40b714e9b3e1f,2,0xd2c82f2e5fa236e114a81173e375a73664610998,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,2021-06-03 23:50:58.000000 UTC,500000,37950000000,11554646,57609,0.0,628687,,127615,346981,0.3677867087823253,541,169589,628781,0.26971075779961545,564,1,0x27cd4d05a167fa8564580a15a7a42a47a9859f12d247ee0b34a40b714e9b3e1f,284635,499,7,2,604,3860594,21,721,4612159,6,2,4,1,1,-0.010776047731480455,-1.4386431937224733,-0.9239801862958886,-0.4159357062967057,0.5860905235062639,0.8934968027246422,1.6124319022823452,-0.9476842690169227,3.7266216995332617,1.907081066960747,-0.17177503345912673,-1.4250361650043977,-0.3116979157159236,-0.29106695876469746,-0.24889243485979493,1.1505731483694637,1.1924117511189884,-0.005168387481150237,-0.2688604470266608,0.7245892458400465,-0.2808844443138408,-0.5791995455763139,0.6386422317553947,0.18031712469259847,1.1671950947053995,-0.34057638124424683,-0.0,0.9845810804937383,0.2857142857142857,0.8942148760330578,173490.5,0.03305578544239942,0.7811634349030471,29941.95238095238,0.03676997328800388,0.45267748230305943,0.8203186918015684,570.4108216432866,0.922365988909427,0
0x28e8fc60e7b9863bab9b87df3146963332dbecb2ed99a6498f61da95578353c9,1,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,207128,42000000000,4604116,65625,0.0,187608,,2925766,10654994,0.2745910509194092,992,46402,187660,0.24726633272940424,35,71,0x28e8fc60e7b9863bab9b87df3146963332dbecb2ed99a6498f61da95578353c9,7573,10,2,3745246,1035,6482092,107748,42,274005,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,-0.12120860486987926,0.020212967322068915,-0.4309844494297973,-0.25584086642709536,-0.416468815514205,-0.4137381810198832,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,0.7779829209201956,-0.6454261469158182,-0.6549295567489037,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.21523358604734877,0.5142955364574473,-0.5039045419102118,-0.3059491956918734,-0.0,0.04575645155559382,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,0.813953488372093,1.741656457660467,0.16934665664255527,0.04035489715442822,0.0007107465288108093,757.3,0.010080645161290322,0
0x626bba8c6ca8c9e074485f6c6d9a415a89254a1c99563ce40d11bcfafee43ce3,1,0x0b1d38038bc8e66f4ba9792d4bdb3bac2803b9c7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,58550,38750000000,7471085,33525,0.0,2,,2925766,10654994,0.2745910509194092,992,5,5,1.0,2,73,0x626bba8c6ca8c9e074485f6c6d9a415a89254a1c99563ce40d11bcfafee43ce3,1,1,2,3745246,1035,6482092,3,19,124049,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,-0.3876048776849321,-0.3512861862717747,-0.558456546984619,-0.23607391206738598,-0.5296979172312916,-0.45645264570664323,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,-0.24906401446754453,-0.7062626473452166,-0.7187861909676607,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.6484165508152202,0.24628816899182787,0.18539409489708525,-0.44461344921372814,-0.0,-0.35355780583723045,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,0.1,1.6666666666666667,4.030632809351068e-05,0.2,9.385270418735102e-08,1.0,0.0010080645161290322,0
0xd0e3165f025d92f265654c21b42ca707998be06a625fc571f952334748ec9193,1,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,207128,42000000000,4953864,48525,0.0,187611,,2925766,10654994,0.2745910509194092,992,46402,187660,0.24726633272940424,35,69,0xd0e3165f025d92f265654c21b42ca707998be06a625fc571f952334748ec9193,7573,10,2,3745246,1035,6482092,107748,42,274005,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,-0.12120860486987926,0.020212967322068915,-0.4309844494297973,-0.2756078207868047,-0.416468815514205,-0.4137381810198832,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,0.7779829209201956,-0.6454261469158182,-0.6549295567489037,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.21523358604734877,0.5142955364574473,-0.419815450041385,-0.37981706906332874,-0.0,0.04576283697382233,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,0.813953488372093,1.741656457660467,0.16934665664255527,0.04035489715442822,0.0007107465288108093,757.3,0.010080645161290322,0
0x85c3d26d558738067a220cd540fd631a58e9078b0b20cc16986ba3c6bca02193,1,0x55fe002aeff02f77364de339a1292923a15844b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,100000,48600000000,3162227,49170,0.0,150037,,2925766,10654994,0.2745910509194092,992,91097,150088,0.6069572517456425,983,70,0x85c3d26d558738067a220cd540fd631a58e9078b0b20cc16986ba3c6bca02193,128064,978,2,3745246,1035,6482092,1419,997,6256223,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,0.13541534524475718,-0.054168030779915534,3.230941262145082,-0.26572434360695,1.3853124437295177,4.180439798622755,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,-0.23556641865791028,1.8806111535222443,1.8925130707075781,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.5275680140895389,1.0585566519260898,-0.8505745345496288,-0.37703082471686156,-0.0,-0.034212397865564355,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,0.9849699398797596,105.77026074700494,0.014561019554287059,0.8532594211395981,0.01201915270904892,130.94478527607362,0.9858870967741935,0
0x6a20e6370c6fc2afe001bfe99782e7a6c0ab0ed32ffba4c20a6d245f466c1d81,1,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,207128,42000000000,5071914,48525,0.0,87029,,2925766,10654994,0.2745910509194092,992,29454,87054,0.338341718933076,11,68,0x6a20e6370c6fc2afe001bfe99782e7a6c0ab0ed32ffba4c20a6d245f466c1d81,8487,10,2,3745246,1035,6482092,42750,10,68175,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,-0.21851843161879655,-0.17895595355114113,-0.5236914294696676,-0.2854912979666594,-0.4028011716989096,-0.4137381810198832,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,0.15840895733643456,-0.7300682344697639,-0.7425793408272117,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.21523358604734877,0.5142955364574473,-0.39143296523771204,-0.37981706906332874,-0.0,-0.1683232084462871,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,1.0,2.0363508771929824,0.43202886646327154,0.09749121235095458,0.0007965279004380481,848.7,0.010080645161290322,0
0x37799f68d37e259c9b5a9f783ef246c75113b4db38a63bcc93d6884711e708c8,1,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:50:58.000000 UTC,200000,44000000000,3863649,65625,0.0,665666,,2925766,10654994,0.2745910509194092,992,478441,665690,0.7187144166203489,1125,66,0x37799f68d37e259c9b5a9f783ef246c75113b4db38a63bcc93d6884711e708c8,207923,799,2,3745246,1035,6482092,17,1130,7031355,3,1,1,1,1,-0.343565757086026,0.7634190792317769,0.14814239024022102,0.7588746440403197,2.3594168517489242,0.96656526484926,3.7794575607143153,-0.3052582523263687,2.5794966531886843,3.330896556519416,-0.33834668577911475,0.7988781756171481,0.7619076780768214,0.7585288029505466,-0.24893056366151706,2.2324048299183303,2.2225920311710046,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.2360154526283055,0.6792231472055208,-0.6819332871463092,-0.3059491956918734,-0.0,1.0632898740511365,0.5,0.9575289575289575,2.844938356519171,0.4513613118478862,0.9946949602122016,39158.23529411765,0.06804391642237997,0.3123420811488831,0.019514135812746587,260.2290362953692,0.8054435483870968,0
0x7ff8fc67f3a5b43b12c55075c64fc7e50391dd3773b5032373bd393484c6ea74,2,0xd2c82f2e5fa236e114a81173e375a73664610998,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,2021-06-03 23:50:58.000000 UTC,500000,37950000000,11497037,57609,0.0,628686,,127615,346981,0.3677867087823253,541,169589,628781,0.26971075779961545,564,2,0x7ff8fc67f3a5b43b12c55075c64fc7e50391dd3773b5032373bd393484c6ea74,284635,499,7,2,604,3860594,21,721,4612159,6,2,4,1,1,-0.010776047731480455,-1.4386431937224733,-0.9239801862958886,-0.4159357062967057,0.5860905235062639,0.8934968027246422,1.6124319022823452,-0.937800791837068,3.7266216995332617,1.907081066960747,-0.17177503345912673,-1.4250361650043977,-0.3116979157159236,-0.29106695876469746,-0.24889243485979493,1.1505731483694637,1.1924117511189884,-0.005168387481150237,-0.2688604470266608,0.7245892458400465,-0.2808844443138408,-0.5791995455763139,0.6386422317553947,0.18031712469259847,1.1533442978646133,-0.34057638124424683,-0.0,0.9845789520209954,0.2857142857142857,0.8942148760330578,173490.5,0.03305578544239942,0.7811634349030471,29941.95238095238,0.03676997328800388,0.45267748230305943,0.8203186918015684,570.4108216432866,0.922365988909427,0
0x1633d54ce3ed6178cb3854f8a482f1a663cbd9cb7a32e66d67a68d9763849874,2,0xe95ef9ed1743e71154b5757b7c3bab3e77aff62f,0xf6874c88757721a02f47592140905c4336dfbc61,2021-06-03 23:50:58.000000 UTC,150000,37000000000,14721957,113989,0.0,0,,312073,500258,0.6238241067609114,749,2,2,1.0,1,5,0x1633d54ce3ed6178cb3854f8a482f1a663cbd9cb7a32e66d67a68d9763849874,1,1,12,500241,748,4785003,1,0,0,7,4,5,1,2,-0.010776047731480455,-1.2934801904590343,-0.9080380515543311,0.12588370139753216,-0.3876221026955674,-0.35129212534859533,-0.5623193378196136,-0.908150360297504,-0.5296979172312916,-0.45645264570664323,-0.005203381139138668,-1.1279957890400596,0.04700093696657124,0.0790480550523747,-0.24908307886840558,-0.7565188868303718,-0.7716106969440978,0.14557624738572986,0.2510354450138435,1.1902065702782647,-0.2808844443138408,-0.04005103240687277,-0.3817917333589222,0.10197650958726356,1.9287042546037998,-0.09702838705227883,-0.0,-0.3535620627827161,0.16666666666666666,1.0,1.0000339836198953,0.06521896324433585,1.0,2.0,2.0,0.5,1.9989685322373653e-06,1.0,0.0013351134846461949,0
