transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,index
0x27d79001b03460d860c999f77ffa2ff6af3d15eb3a799b15c673292d0726cda1,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:30:23+00:00,5000000,210000000000,6125891,864332,1000000000.0,154,,44,25797,27056,0.953466883500887,214,80,166,0.4819277108433735,2,1,6552,69,0x27d79001b03460d860c999f77ffa2ff6af3d15eb3a799b15c673292d0726cda1,76,1,144,4703,213,1387016,6,23,26.0,14.0,4,3,0,0.2260755413738389,1.034913200171444,1.03539909703074,0.9793485715521985,-0.1137644912688218,-0.0546581592172098,-0.1769451835125169,1.0441357956848756,0.9404207035679216,-0.1117513375235596,0.9174155247960182,1.0320092434348045,0.9653795351425078,0.9656196915527752,-0.1768605857548943,-0.209700492216681,-0.2102721395501471,0.8697147754941872,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,-0.341764737311215,0.9235463119428512,-0.0,-0.0590269152603384,0.1041666666666666,1.0,5.752923665745269,0.0185989068627132,1.0,27.666666666666668,0.012208148939417,0.4578313253012048,0.0028089887640449,76.0,0.0046728971962616,
0x511e9d584cdd99f9000b6d966f0202892b9cdfeb88a2ac76cf4a434ec44e50e4,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:30:23+00:00,5000000,210000000000,7352759,864332,1000000000.0,156,,41,25797,27056,0.953466883500887,214,80,166,0.4819277108433735,2,1,6552,70,0x511e9d584cdd99f9000b6d966f0202892b9cdfeb88a2ac76cf4a434ec44e50e4,76,1,144,4703,213,1387016,6,23,26.0,14.0,4,3,0,0.2260755413738389,1.034913200171444,1.03539909703074,0.9793485715521985,-0.1137644912688218,-0.0546581592172098,-0.1769451835125169,1.0831041645887276,0.9404207035679216,-0.1117513375235596,0.9174155247960182,1.0320092434348045,0.9653795351425078,0.9656196915527752,-0.1768605857548943,-0.209700492216681,-0.2102721395501471,0.8697147754941872,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,0.0874689442059909,0.9235463119428512,-0.0,-0.0548215541889507,0.1041666666666666,1.0,5.752923665745269,0.0185989068627132,1.0,27.666666666666668,0.012208148939417,0.4578313253012048,0.0028089887640449,76.0,0.0046728971962616,
0x8c97cd995f910136d0c94f44b92edf77ab045a18664ada5f8d2973f20f921b57,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:30:23+00:00,5000000,210000000000,4899023,901731,1000000000.0,152,,42,25797,27056,0.953466883500887,214,80,166,0.4819277108433735,2,1,6552,71,0x8c97cd995f910136d0c94f44b92edf77ab045a18664ada5f8d2973f20f921b57,76,1,145,4703,213,1387016,6,24,26.0,14.0,4,3,0,0.2260755413738389,1.034913200171444,1.03539909703074,0.9793485715521985,-0.1137644912688218,-0.0546581592172098,-0.1769451835125169,1.1220725334925794,0.9404207035679216,-0.1117513375235596,0.9536292955116504,1.0320092434348045,0.9653795351425078,0.9656196915527752,-0.1768605857548943,-0.209700492216681,-0.2102721395501471,1.034329559499396,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,-0.7709984188284209,1.0653605886374753,-0.0,-0.063232276331726,0.1034482758620689,1.0,5.752923665745269,0.0185989068627132,1.0,27.666666666666668,0.012208148939417,0.4578313253012048,0.0028089887640449,76.0,0.0046728971962616,
0x1753ebe39d06c85d3b1a7955662f2bed30942b2ea22856f8d7e7123d4eec9292,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:31:33+00:00,5000000,210000000000,6593188,941768,1000000000.0,160,,35,25798,27057,0.9534686033189194,214,82,168,0.4880952380952381,2,1,6557,72,0x1753ebe39d06c85d3b1a7955662f2bed30942b2ea22856f8d7e7123d4eec9292,77,1,148,4703,213,1387021,6,25,26.0,14.0,4,3,0,0.2260755413738389,1.0349913683465786,1.035473688432008,0.9793485715521985,-0.1093710974845721,-0.050472467381814,-0.1769451835125169,1.1610409023964312,0.977203781934333,-0.1117513375235596,1.0622706076585473,1.0320092434348045,0.9653795351425078,0.9656269410539332,-0.1768605857548943,-0.209700492216681,-0.2102647846320567,1.198944343504605,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,-0.1782755830811382,1.2171779686749804,-0.0,-0.0464108320461754,0.1013513513513513,1.0,5.753136295981289,0.0185995607856256,1.0,28.0,0.0125038121378469,0.4583333333333333,0.0028458439590494,77.0,0.0046728971962616,
0x1280544af91241f546ecc7fdb2c7350fc1ed88ca3114e3337b5e0dd57543f1f4,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:32:27+00:00,5000000,210000000000,2774151,921941,1000000000.0,162,,33,25799,27058,0.9534703230098308,214,84,170,0.4941176470588235,2,1,6561,73,0x1280544af91241f546ecc7fdb2c7350fc1ed88ca3114e3337b5e0dd57543f1f4,78,1,148,4703,213,1387025,6,25,26.0,14.0,4,3,0,0.2260755413738389,1.0350695365217129,1.0355482798332756,0.9793485715521985,-0.1049777037003224,-0.0462867755464183,-0.1769451835125169,1.2000092713002832,1.0139868603007445,-0.1117513375235596,1.0622706076585473,1.0320092434348045,0.9653795351425078,0.9656327406548592,-0.1768605857548943,-0.209700492216681,-0.2102589006975843,1.198944343504605,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,-1.5144089824039877,1.141995432670694,-0.0,-0.0422054709747877,0.1013513513513513,1.0,5.753348926217308,0.0186002281139647,1.0,28.33333333333333,0.0128009753124047,0.4588235294117647,0.0028826964298913,78.0,0.0046728971962616,
0xd8408e72a40fd9a7bbbaef711f7b9ad76f1ffb53117afb98aeaec02a2c8507b4,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:33:10+00:00,5000000,210000000000,7727772,921941,1000000000.0,164,,31,25800,27059,0.9534720425736354,214,86,172,0.5,2,1,6564,74,0xd8408e72a40fd9a7bbbaef711f7b9ad76f1ffb53117afb98aeaec02a2c8507b4,79,1,148,4703,213,1387028,6,25,26.0,14.0,4,3,0,0.2260755413738389,1.0351477046968474,1.0356228712345434,0.9793485715521985,-0.1005843099160726,-0.0421010837110225,-0.1769451835125169,1.238977640204135,1.050769938667156,-0.1117513375235596,1.0622706076585473,1.0320092434348045,0.9653795351425078,0.965637090355554,-0.1768605857548943,-0.209700492216681,-0.21025448774673,1.198944343504605,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,0.2186714946081629,1.141995432670694,-0.0,-0.0380001099034001,0.1013513513513513,1.0,5.753561556453327,0.0186009088490579,1.0,28.666666666666668,0.0130997715156131,0.4593023255813953,0.0029195461768727,79.0,0.0046728971962616,
0x156c33007b18040dda20cba5ccff866b30334337db6dbe99087908376178d623,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:33:44+00:00,5000000,210000000000,3833052,921941,1000000000.0,166,,29,25801,27060,0.9534737620103474,214,88,174,0.5057471264367817,2,1,6566,75,0x156c33007b18040dda20cba5ccff866b30334337db6dbe99087908376178d623,80,1,148,4703,213,1387030,6,25,26.0,14.0,4,3,0,0.2260755413738389,1.035225872871982,1.035697462635811,0.9793485715521985,-0.0961909161318229,-0.0379153918756267,-0.1769451835125169,1.277946009107987,1.0875530170335677,-0.1117513375235596,1.0622706076585473,1.0320092434348045,0.9653795351425078,0.965639990156017,-0.1768605857548943,-0.209700492216681,-0.2102515457794939,1.198944343504605,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,-1.1439404604503212,1.141995432670694,-0.0,-0.0337947488320124,0.1013513513513513,1.0,5.753774186689348,0.0186016029922907,1.0,29.0,0.0134003350083752,0.4597701149425287,0.0029563932002956,80.0,0.0046728971962616,
0xcae15e3e3e67c4e5a42b842be910bc29366a9175003d4dc87acb8286f0aef958,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:33:52+00:00,5000000,210000000000,10108739,864332,1000000000.0,170,,26,25802,27062,0.9534402483186756,214,89,179,0.4972067039106145,2,1,6567,76,0xcae15e3e3e67c4e5a42b842be910bc29366a9175003d4dc87acb8286f0aef958,82,1,144,4703,213,1387031,6,23,26.0,14.0,4,3,0,0.2260755413738389,1.0353040410471162,1.0358466454383466,0.9793485715521985,-0.0939942192396981,-0.0274511622871373,-0.1769451835125169,1.3169143780118389,1.1611191737663906,-0.1117513375235596,0.9174155247960182,1.0320092434348045,0.9653795351425078,0.9656414400562484,-0.1768605857548943,-0.209700492216681,-0.2102500747958758,0.8697147754941872,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,1.051679797849406,0.9235463119428512,-0.0,-0.0253840266892371,0.1041666666666666,1.0,5.754199447161386,0.0186023105451063,1.0,29.83333333333333,0.0135505481120584,0.4581005586592179,0.0030300790776734,82.0,0.0046728971962616,
0x09f1bd50cd2e5853d194ec8fe3b7e537af96f0e7b8fd9ee27c21d971ff5cf84e,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:33:52+00:00,5000000,210000000000,8881871,901731,1000000000.0,168,,28,25802,27062,0.9534402483186756,214,89,179,0.4972067039106145,2,1,6567,77,0x09f1bd50cd2e5853d194ec8fe3b7e537af96f0e7b8fd9ee27c21d971ff5cf84e,82,1,145,4703,213,1387031,6,24,26.0,14.0,4,3,0,0.2260755413738389,1.0353040410471162,1.0358466454383466,0.9793485715521985,-0.0939942192396981,-0.0274511622871373,-0.1769451835125169,1.3558827469156909,1.1611191737663906,-0.1117513375235596,0.9536292955116504,1.0320092434348045,0.9653795351425078,0.9656414400562484,-0.1768605857548943,-0.209700492216681,-0.2102500747958758,1.034329559499396,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,0.6224461163321999,1.0653605886374753,-0.0,-0.0295893877606248,0.1034482758620689,1.0,5.754199447161386,0.0186023105451063,1.0,29.83333333333333,0.0135505481120584,0.4581005586592179,0.0030300790776734,82.0,0.0046728971962616,
0xa6b571fc2c80f160f67e5b887edef77feddbb00a70dfd8316d876b22eb8f2c96,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:34:08+00:00,5000000,210000000000,5089384,919141,1000000000.0,172,,23,25803,27063,0.9534419687396076,214,90,180,0.5,2,1,6568,78,0xa6b571fc2c80f160f67e5b887edef77feddbb00a70dfd8316d876b22eb8f2c96,83,1,148,4703,213,1387032,6,25,26.0,14.0,4,3,0,0.2260755413738389,1.0353822092222509,1.0359212368396142,0.9793485715521985,-0.0917975223475732,-0.0253583163694394,-0.1769451835125169,1.394851115819543,1.1979022521328022,-0.1117513375235596,1.0622706076585473,1.0320092434348045,0.9653795351425078,0.96564288995648,-0.1768605857548943,-0.209700492216681,-0.2102486038122577,1.198944343504605,-0.8145574178088297,1.045515501237558,1.046525644043671,0.882793325567204,1.0558673736174873,0.6026707693768921,-0.7043984644345522,1.131378037158917,-0.0,-0.0211786656178495,0.1013513513513513,1.0,5.754412077397406,0.0186030180969018,1.0,30.0,0.0137007154818084,0.4611111111111111,0.0030669179322321,83.0,0.0046728971962616,
