transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x149b88687737ce966009daac70ba5cfe778537655b4ceb013c1b8f815111c0b0,1,0x97257c34443b06c5b35376f597d64082195ef4b6,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:36:05.000000 UTC,91216,20000000000,87608,45608,0,0,,949,62643,109234,0.573475291575883,48,2,2,1.0,1,49,0x149b88687737ce966009daac70ba5cfe778537655b4ceb013c1b8f815111c0b0,1,1,1,32056,47,285436,1,0,0,2,,,1,0
0x574ce2162f6e5c8c7258431d077a46331e19d812e6ac18f7c2eaa1715676f4c2,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:34:17.000000 UTC,54154,20000000000,322176,39154,0,18409,,950,62642,109233,0.57347138685195864,48,6112,18414,0.33192136417942869,21,48,0x574ce2162f6e5c8c7258431d077a46331e19d812e6ac18f7c2eaa1715676f4c2,9099,20,1,32055,47,285428,8748,19,116767,2,,,1,0
0x83706145ac066405e5f0166c057c13f2994a846407d920b6411c23ae8a01f654,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:30:38.000000 UTC,54154,20000000000,1483069,39154,0,18408,,952,62641,109232,0.57346748205654019,48,6111,18413,0.33188508119263566,21,47,0x83706145ac066405e5f0166c057c13f2994a846407d920b6411c23ae8a01f654,9098,20,1,32055,47,285411,8748,19,116750,2,,,1,0
0x7988dcbee77be13e363843c5ed8f35df2203192bc2e7567db7556539310265c0,1,0x81b2fbd013253588201ed34ac56028d9cf13c224,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:30:38.000000 UTC,100000,21000000000,198561,100000,0,2,,951,62641,109232,0.57346748205654019,48,6,6,1.0,3,46,0x7988dcbee77be13e363843c5ed8f35df2203192bc2e7567db7556539310265c0,2,1,1,32055,47,285411,2,26,154970,2,,,1,0
0xb2e1e201282c9b437ac53d44eb5a414cb034d321b6b728733620530b9b5590dc,1,0x713b33ace5c62f781d44d501ea07852002ce1d59,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:29:30.000000 UTC,91216,20000000000,610400,45608,0,0,,954,62640,109230,0.57346882724526227,48,2,2,1.0,1,43,0xb2e1e201282c9b437ac53d44eb5a414cb034d321b6b728733620530b9b5590dc,1,1,1,32055,47,285410,1,0,0,2,,,1,0
0x7c3c55be66fd6a63324f5e8604c9c2138527a64b25e249625b94551294478093,1,0x97d3c966313a6fadd27035f9b5cf39f0c0986ae4,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:29:30.000000 UTC,91216,20000000000,677008,45608,0,0,,953,62640,109230,0.57346882724526227,48,2,2,1.0,1,44,0x7c3c55be66fd6a63324f5e8604c9c2138527a64b25e249625b94551294478093,1,1,1,32055,47,285410,1,0,0,2,,,1,0
0xe8257026ef23f70ad06ee7ee9e4a44a5306e76aa786f35334dc516117ff31a32,1,0xf2ebc5e4ce0bd570e3e02484bbc73296998edc1a,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:29:30.000000 UTC,162778,20000000000,327285,47778,0,4,,955,62640,109230,0.57346882724526227,48,8,8,1.0,2,45,0xe8257026ef23f70ad06ee7ee9e4a44a5306e76aa786f35334dc516117ff31a32,5,2,1,32055,47,285410,1,34,206723,2,,,1,0
0xb3005e9a01cfb3886517c28e3c498bd68dbe8c1028a9ed797556c77c6382b5ac,1,0x2c3915f3271287aa7fb4b39047979282bde8d0cd,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:28:13.000000 UTC,100000,21000000000,121000,100000,0,12,,956,62639,109227,0.57347542274346086,48,15,16,0.9375,4,42,0xb3005e9a01cfb3886517c28e3c498bd68dbe8c1028a9ed797556c77c6382b5ac,12,4,1,32053,47,285404,1,34,207600,2,,,1,0
0xf7c3e96878c8f8b4f7814c6b548d9cf3a65ff036fe4f4c6451da82863d570769,1,0xcb15d576475cecb371aa4dc36f15808ae1961f4b,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:27:47.000000 UTC,100000,21000000000,83778,62778,0,3,,957,62638,109226,0.57347151777049421,48,10,10,1.0,5,41,0xf7c3e96878c8f8b4f7814c6b548d9cf3a65ff036fe4f4c6451da82863d570769,2,1,1,32053,47,285403,3,18,109088,2,,,1,0
0xed7207bd95bacd12cd6ef41405ebb4e3c284934300c82f5a71619abe3a0b5a20,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:26:52.000000 UTC,54154,20000000000,48077,27077,0,18405,,959,62637,109225,0.57346761272602431,48,6109,18411,0.33181250339470969,21,40,0xed7207bd95bacd12cd6ef41405ebb4e3c284934300c82f5a71619abe3a0b5a20,9097,20,1,32053,47,285398,8747,19,116737,2,,,1,0
