transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xe2bdeebcff3a82161b5537511e81e478179bfd9366e66a20a48147e14249ee85,2,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,0x1522900b6dafac587d499a862861c0869be6e428,2022-03-03 23:31:41.000000 UTC,500000,65484463519,1096346,66636,0,1396525,2.0,1011,868570,1396497,0.6219633840960632,1661,868534,1396555,0.6219117757625013,1661,2,0xe2bdeebcff3a82161b5537511e81e478179bfd9366e66a20a48147e14249ee85,1396342,1661,5,62,1660,10150875,3,1660,10150912,5,1.0,3.0,1,2
0xc91feb4691906511d666a8b8fbb382e6fd591fd259239daa987a97f340edb19a,3,0x2cba938a0f1673216a261a35f5ce48935d0834dc,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:30:21.000000 UTC,284466,56993056696,11405082,206790,320000000000000000,1,2.0,1044,1731506,4071097,0.4253168126428822,508,3,3,1.0,1,2,0xc91feb4691906511d666a8b8fbb382e6fd591fd259239daa987a97f340edb19a,1,1,17,1103389,507,3275244,1,0,467,11,3.0,8.0,1,1
0x609c2e49eddefde53648567cb684707598ffa5404d75a97842f2995b7df5a42c,2,0xd2c82f2e5fa236e114a81173e375a73664610998,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,2022-03-03 23:29:53.000000 UTC,500000,72501874269,1598499,64936,0,1657079,2.0,1073,278192,804570,0.3457648184744646,812,438061,1657199,0.2643381995765143,837,1,0x609c2e49eddefde53648567cb684707598ffa5404d75a97842f2995b7df5a42c,742224,770,5,2,877,5613021,22,994,6364586,5,1.0,3.0,1,1
0x8edd59069928010e8030507a5c871204c78788a365615c800eb282fe95f10e1b,1,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,2022-03-03 23:32:17.000000 UTC,500000,45708747748,6634014,68890,0,1080702,,994,512370,851773,0.6015335071668155,871,381370,1080740,0.3528785831929973,645,1,0x8edd59069928010e8030507a5c871204c78788a365615c800eb282fe95f10e1b,348747,643,6,72,870,5571256,2,646,4173189,7,0.0,5.0,1,2
0x3ceda5bb2539043ec28705721aa93d735c812e2afd0b93a66305ceff7f6f655f,2,0xf2e3143fe517bb506682636c33b49cffab43e248,0x47e312d99c09ce61a866c83cbbbbed5a4b9d33e7,2022-03-03 23:30:21.000000 UTC,500000,56493056696,23461855,363737,120000000000000000,514,2.0,1053,27080,135373,0.2000398897859986,218,529,537,0.9851024208566108,119,1,0x3ceda5bb2539043ec28705721aa93d735c812e2afd0b93a66305ceff7f6f655f,7,2,20,32743,223,1437507,104,303,1951065,9,13.0,4.0,1,4
0x6e7c6dde557385a3f2c04835e8bc27653f0f38fbeb5ec37354912871f18bc61e,4,0x67bb36192f393821fddeff3e97d2bc0cb189a747,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:30:46.000000 UTC,237502,63803140018,4788893,180954,0,1,2.0,1030,1731507,4071099,0.4253168493323301,508,2,3,0.6666666666666666,1,3,0x6e7c6dde557385a3f2c04835e8bc27653f0f38fbeb5ec37354912871f18bc61e,1,1,18,1103391,507,3275245,2,0,0,9,7.0,4.0,1,2
0xce5c2e38f5e0be603e73e3526477c7b7fd8ea7d7a992ee3722cad5839d77efa7,1,0x8e8f845e6782833a11bf7d5c362735c7669c07a4,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:33:33.000000 UTC,75865,40400000000,3945617,58421,0,5,,930,6098425,126505651,0.048206739792201,1506,8,8,1.0,6,118,0xce5c2e38f5e0be603e73e3526477c7b7fd8ea7d7a992ee3722cad5839d77efa7,5,5,1,18210034,1556,9682173,2,225,1444261,2,,,1,0
0x909bc7b435bc17d889bb3bac3d141ab20ca27ed55b92ca094e8ae4496a8191d1,1,0x8346fc2f0635b4761f06552983d95cb5a0ccfa4e,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:35:28.000000 UTC,94795,46383105785,16998704,63197,0,137,2.0,867,6098431,126505706,0.048206766262385,1506,137,138,0.9927536231884057,49,173,0x909bc7b435bc17d889bb3bac3d141ab20ca27ed55b92ca094e8ae4496a8191d1,2,2,1,18210043,1556,9682179,41,173,1113966,2,,,1,0
0x7ba5c1faed8cdbe99e115101993bd903d12e767bea64d0827a9906fbfeae65d2,1,0x87cbc48075d7aa1760ac71c41e8bc289b6a31f56,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:32:17.000000 UTC,120000,49856302404,1934394,63221,0,46822,2.0,992,6098418,126505610,0.0482067000823125,1506,42077,46934,0.8965142540588911,93,67,0x7ba5c1faed8cdbe99e115101993bd903d12e767bea64d0827a9906fbfeae65d2,12795,89,1,18210028,1556,9682165,13250,91,588956,2,,,1,0
0x2d4e0d00cba88ad311c4b45a5d1a3d9aee796be2e9511bde9a66b6c2c1f67e4e,1,0x48c04ed5691981c42154c6167398f95e8f38a7ff,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:32:17.000000 UTC,180000,91084224600,8955521,63209,0,308280,,990,6098418,126505610,0.0482067000823125,1506,209903,308355,0.6807186522028181,295,64,0x2d4e0d00cba88ad311c4b45a5d1a3d9aee796be2e9511bde9a66b6c2c1f67e4e,72190,295,1,18210028,1556,9682165,205,294,1890899,2,,,1,0
